Simulation,Intercept,Slope
1,26.200827205882355,0.9855698529411786
2,26.42325367647058,0.968658088235296
3,26.273897058823525,0.9775735294117666
4,25.846507352941178,1.0060661764705898
5,26.126838235294116,0.991544117647061
6,25.910845588235283,1.0038602941176489
7,25.918658088235297,1.008547794117649
8,25.940716911764696,1.013327205882355
9,26.006893382352935,1.0026654411764726
10,26.282628676470587,0.9842830882352962
11,25.855698529411757,1.0075367647058846
12,26.384191176470587,0.9702205882352963
13,25.823529411764703,1.0117647058823547
14,26.374540441176464,0.9739889705882374
15,26.399356617647054,0.9723345588235316
16,26.067555147058826,0.9923713235294138
17,26.263327205882355,0.9793198529411784
18,26.245404411764703,0.983639705882355
19,26.240808823529413,0.9797794117647081
20,26.181525735294116,0.9868566176470608
